yyyymm,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK
199401,-13.20%,-30.10%,-22.20%,-6.50%,8.50%
199402,45.90%,13.60%,-13.70%,14.80%,-12.80%
199403,36.20%,-11.00%,2.50%,3.40%,-2.20%
199404,11.30%,-7.70%,0.50%,0.70%,-22.00%
199405,6.00%,-29.20%,-2.80%,3.40%,-2.40%
199406,20.10%,28.00%,-7.60%,15.60%,3.10%
199407,-19.70%,-5.80%,-5.50%,0.90%,-17.80%
199408,-9.50%,-14.30%,-10.80%,-14.20%,1.70%
199409,11.30%,-5.30%,1.10%,-12.60%,-6.10%
199410,-13.00%,4.40%,-9.30%,-14.70%,-15.40%
199411,-14.80%,-22.60%,-10.20%,19.30%,1.20%
199412,-6.30%,-15.80%,-12.00%,24.20%,-6.80%
199501,-18.70%,-11.60%,-4.20%,-5.00%,-6.50%
199502,-5.50%,12.70%,-10.70%,18.00%,3.20%
199503,5.60%,90.30%,23.50%,50.90%,3.60%
199504,-12.80%,-12.70%,5.40%,5.90%,-3.00%
199505,42.50%,-14.40%,-10.00%,32.20%,1.40%
199506,6.90%,-21.00%,6.90%,0.30%,0.10%
199507,-18.00%,-22.90%,-22.70%,-17.90%,10.50%
199508,-11.90%,50.60%,-9.50%,-1.80%,-7.60%
199509,-2.50%,8.10%,0.50%,-1.90%,-6.20%
199510,-8.00%,-18.00%,-13.40%,-15.00%,-13.50%
199511,5.70%,-15.20%,-14.40%,-7.60%,-11.00%
199512,1.00%,-16.70%,8.90%,-21.70%,-10.90%
199601,2.90%,-6.50%,-2.20%,4.90%,18.10%
199602,9.30%,-27.30%,-1.10%,-9.30%,-13.20%
199603,-1.70%,-22.40%,-4.80%,-8.80%,4.20%
199604,-11.00%,-7.90%,31.50%,-18.30%,-12.90%
199605,-13.40%,2.90%,-22.90%,-1.40%,-15.80%
199606,-13.60%,-16.60%,8.30%,-0.50%,-16.20%
199607,2.70%,9.10%,-3.50%,31.70%,0.70%
199608,2.90%,-29.70%,3.00%,16.00%,-8.40%
199609,2.70%,-1.10%,5.10%,-3.40%,-6.20%
199610,14.80%,37.10%,23.60%,8.00%,-2.80%
199611,13.90%,9.30%,10.80%,7.70%,7.20%
199612,-9.90%,27.80%,-8.40%,-9.00%,1.00%
199701,-3.70%,41.20%,8.40%,-12.90%,15.80%
199702,-4.90%,2.40%,24.00%,-6.70%,1.50%
199703,-1.90%,-14.20%,-4.40%,-8.10%,-7.00%
199704,-17.50%,-13.10%,2.50%,-3.80%,-12.40%
199705,3.90%,10.80%,-1.60%,15.00%,28.10%
199706,-9.90%,-6.70%,7.70%,-11.00%,5.30%
199707,30.80%,32.40%,20.60%,-0.30%,23.50%
199708,-8.00%,4.60%,-14.20%,0.40%,3.30%
199709,0.30%,-11.40%,-3.00%,-12.50%,-3.40%
199710,4.00%,11.00%,6.80%,35.40%,29.10%
199711,-15.30%,-1.20%,-6.60%,-4.20%,-20.30%
199712,0.60%,-8.20%,21.30%,2.40%,-15.00%
199801,19.50%,-4.40%,4.00%,15.20%,-7.40%
199802,-8.20%,-24.10%,-3.40%,-10.00%,5.30%
199803,-10.70%,-1.60%,-9.60%,-10.80%,8.90%
199804,-19.60%,-17.90%,-10.90%,-13.30%,-10.00%
199805,3.60%,-2.40%,17.80%,-18.90%,-30.20%
199806,1.20%,2.40%,5.40%,91.80%,-14.00%
199807,-14.90%,-21.30%,-1.60%,-17.00%,-8.10%
199808,68.90%,13.50%,23.10%,13.50%,46.20%
199809,32.90%,12.00%,-7.60%,1.60%,1.60%
199810,-3.60%,30.20%,-8.00%,3.10%,-12.90%
199811,-9.70%,-14.20%,-2.50%,-20.30%,5.20%
199812,-3.70%,9.50%,8.70%,-5.10%,-2.60%
199901,7.30%,-13.00%,-5.10%,-22.00%,-3.00%
199902,22.40%,22.90%,7.50%,21.00%,-26.20%
199903,-13.60%,-11.50%,-0.30%,-6.80%,-18.80%
199904,-7.40%,-14.70%,-8.50%,0.20%,-2.40%
199905,3.40%,-2.50%,8.10%,6.90%,-19.30%
199906,20.20%,-7.10%,-6.60%,-5.30%,-17.50%
199907,3.60%,23.80%,11.00%,0.50%,-11.60%
199908,-7.90%,-16.20%,-11.00%,-2.90%,-20.10%
